level,vineyard_id,row_id,block_count,row_count,row_length_m,canopy_area_m2,canopy_area_ha,interrow_area_m2,interrow_area_ha,plant_count,row_structure
row,V20,V20-R002,,,62.27,,,,,5,regular
row,V20,V20-R003,,,62.63,,,,,6,regular
row,V20,V20-R004,,,27.39,,,,,1,regular
row,V20,V20-R005,,,35.30,,,,,4,regular
row,V20,V20-R006,,,62.70,,,,,5,regular
row,V20,V20-R007,,,62.78,,,,,11,regular
row,V20,V20-R008,,,14.56,,,,,3,regular
row,V20,V20-R009,,,48.38,,,,,3,regular
row,V20,V20-R010,,,63.26,,,,,4,regular
row,V20,V20-R011,,,1.81,,,,,1,regular
row,V20,V20-R012,,,63.31,,,,,8,regular
row,V21,V21-R001,,,33.09,,,,,6,regular
row,V21,V21-R002,,,18.59,,,,,1,regular
row,V21,V21-R003,,,11.95,,,,,2,regular
row,V22,V22-R001,,,40.72,,,,,2,regular
row,V22,V22-R002,,,58.45,,,,,4,regular
row,V22,V22-R003,,,117.23,,,,,13,regular
row,V22,V22-R004,,,117.19,,,,,20,regular
row,V22,V22-R005,,,117.18,,,,,15,regular
row,V22,V22-R006,,,117.11,,,,,16,regular
row,V22,V22-R007,,,58.61,,,,,6,regular
row,V22,V22-R008,,,42.69,,,,,2,regular
row,V22,V22-R009,,,36.21,,,,,4,regular
row,V22,V22-R010,,,58.56,,,,,1,regular
row,V22,V22-R011,,,25.56,,,,,4,regular
row,V23,V23-R001,,,43.36,,,,,6,disrupted
row,V23,V23-R002,,,42.16,,,,,6,disrupted
row,V23,V23-R003,,,39.94,,,,,5,disrupted
row,V24,V24-R001,,,91.70,,,,,25,regular
row,V24,V24-R002,,,85.68,,,,,22,regular
row,V24,V24-R003,,,79.43,,,,,23,regular
row,V24,V24-R004,,,73.62,,,,,7,regular
row,V24,V24-R005,,,10.34,,,,,2,regular
row,V24,V24-R006,,,62.91,,,,,3,regular
row,V25,V25-R001,,,27.85,,,,,6,regular
row,V25,V25-R002,,,22.27,,,,,5,regular
row,V25,V25-R003,,,16.48,,,,,2,regular
row,V26,V26-R001,,,2.79,,,,,1,regular
row,V26,V26-R002,,,16.94,,,,,2,disrupted
row,V26,V26-R003,,,21.89,,,,,2,disrupted
row,V26,V26-R004,,,39.95,,,,,7,disrupted
row,V26,V26-R005,,,39.16,,,,,5,disrupted
row,V26,V26-R006,,,47.90,,,,,7,disrupted
row,V26,V26-R007,,,51.20,,,,,8,disrupted
row,V26,V26-R008,,,51.20,,,,,8,disrupted
row,V27,V27-R001,,,32.05,,,,,1,regular
row,V27,V27-R002,,,35.18,,,,,1,regular
row,V27,V27-R003,,,37.99,,,,,5,regular
row,V27,V27-R004,,,41.91,,,,,10,regular
row,V27,V27-R005,,,40.09,,,,,11,regular
row,V27,V27-R006,,,46.74,,,,,11,regular
row,V27,V27-R007,,,48.62,,,,,8,regular
row,V28,V28-R001,,,40.05,,,,,4,regular
row,V28,V28-R002,,,43.83,,,,,8,regular
row,V28,V28-R003,,,47.64,,,,,10,regular
row,V28,V28-R004,,,52.83,,,,,11,regular
row,V28,V28-R005,,,58.00,,,,,17,regular
row,V28,V28-R006,,,63.83,,,,,7,regular
row,V28,V28-R007,,,64.49,,,,,11,disrupted
row,V28,V28-R008,,,64.64,,,,,15,regular
row,V28,V28-R009,,,64.55,,,,,5,regular
row,V29,V29-R001,,,52.97,,,,,4,regular
row,V29,V29-R002,,,47.02,,,,,9,regular
row,V29,V29-R003,,,42.39,,,,,9,regular
row,V29,V29-R004,,,36.48,,,,,6,regular
row,V29,V29-R005,,,31.67,,,,,6,regular
row,V29,V29-R006,,,27.61,,,,,12,regular
row,V29,V29-R007,,,23.33,,,,,7,regular
row,V29,V29-R008,,,20.44,,,,,4,regular
row,V29,V29-R009,,,17.28,,,,,7,regular
row,V29,V29-R010,,,11.18,,,,,5,regular
row,V29,V29-R011,,,5.13,,,,,3,regular
row,V30,V30-R001,,,12.45,,,,,5,regular
row,V30,V30-R002,,,18.86,,,,,8,regular
row,V30,V30-R003,,,25.07,,,,,10,regular
row,V30,V30-R004,,,31.13,,,,,12,regular
row,V30,V30-R005,,,37.20,,,,,16,regular
row,V31,V31-R001,,,41.05,,,,,3,regular
row,V31,V31-R002,,,45.00,,,,,9,regular
row,V31,V31-R003,,,52.85,,,,,9,regular
row,V31,V31-R004,,,57.07,,,,,15,regular
row,V31,V31-R005,,,62.93,,,,,10,regular
row,V32,V32-R001,,,27.17,,,,,4,disrupted
row,V32,V32-R002,,,35.13,,,,,6,disrupted
row,V32,V32-R003,,,34.99,,,,,7,disrupted
row,V32,V32-R004,,,20.61,,,,,1,disrupted
row,V32,V32-R005,,,22.27,,,,,3,disrupted
row,V32,V32-R006,,,26.80,,,,,2,disrupted
row,V33,V33-R001,,,2.86,,,,,1,regular
row,V33,V33-R002,,,64.78,,,,,3,regular
row,V33,V33-R003,,,66.76,,,,,3,regular
row,V33,V33-R004,,,12.81,,,,,1,regular
row,V33,V33-R005,,,53.36,,,,,3,regular
row,V33,V33-R006,,,17.72,,,,,1,regular
row,V33,V33-R007,,,48.78,,,,,2,regular
row,V33,V33-R008,,,43.62,,,,,2,regular
row,V34,V34-R001,,,53.69,,,,,15,regular
row,V34,V34-R002,,,46.15,,,,,15,regular
row,V34,V34-R003,,,38.76,,,,,11,disrupted
row,V35,V35-R001,,,45.65,,,,,4,disrupted
row,V35,V35-R002,,,32.82,,,,,7,disrupted
row,V35,V35-R003,,,29.34,,,,,8,disrupted
row,V35,V35-R004,,,21.34,,,,,2,disrupted
row,V35,V35-R005,,,10.68,,,,,3,disrupted
row,V35,V35-R006,,,10.93,,,,,2,disrupted
row,V36,V36-R001,,,5.16,,,,,1,regular
row,V36,V36-R002,,,9.51,,,,,1,regular
row,V36,V36-R003,,,14.15,,,,,1,disrupted
row,V36,V36-R004,,,19.90,,,,,1,disrupted
row,V36,V36-R005,,,19.91,,,,,3,disrupted
row,V36,V36-R006,,,30.97,,,,,4,disrupted
row,V36,V36-R007,,,38.14,,,,,1,disrupted
row,V36,V36-R008,,,45.21,,,,,12,disrupted
row,V36,V36-R009,,,50.06,,,,,11,disrupted
row,V37,V37-R001,,,69.23,,,,,14,regular
row,V37,V37-R002,,,62.37,,,,,13,regular
row,V37,V37-R003,,,57.86,,,,,14,disrupted
row,V38,V38-R001,,,56.66,,,,,14,disrupted
row,V38,V38-R002,,,48.74,,,,,14,disrupted
row,V38,V38-R003,,,38.81,,,,,9,disrupted
row,V38,V38-R004,,,33.42,,,,,9,disrupted
row,V38,V38-R005,,,27.31,,,,,5,regular
row,V38,V38-R006,,,22.26,,,,,5,disrupted
row,V38,V38-R007,,,18.32,,,,,4,disrupted
row,V38,V38-R008,,,12.12,,,,,5,regular
row,V39,V39-R001,,,16.11,,,,,4,regular
row,V39,V39-R002,,,7.71,,,,,3,regular
row,V39,V39-R003,,,2.55,,,,,1,regular
row,V40,V40-R001,,,26.86,,,,,6,regular
row,V40,V40-R002,,,32.81,,,,,10,regular
row,V40,V40-R003,,,38.17,,,,,14,disrupted
row,V40,V40-R004,,,41.98,,,,,15,regular
row,V40,V40-R005,,,48.27,,,,,5,regular
row,V41,V41-R001,,,62.74,,,,,15,regular
row,V41,V41-R002,,,65.19,,,,,18,regular
row,V41,V41-R003,,,65.02,,,,,11,disrupted
row,V42,V42-R001,,,20.98,,,,,8,regular
row,V42,V42-R002,,,31.12,,,,,4,disrupted
row,V42,V42-R003,,,35.39,,,,,8,regular
row,V42,V42-R004,,,43.16,,,,,16,regular
row,V42,V42-R005,,,48.18,,,,,13,regular
row,V42,V42-R006,,,48.00,,,,,8,regular
row,V42,V42-R007,,,59.26,,,,,9,regular
row,V42,V42-R008,,,62.55,,,,,10,regular
row,V42,V42-R009,,,62.54,,,,,10,regular
row,V42,V42-R010,,,11.11,,,,,1,regular
row,V42,V42-R011,,,62.55,,,,,13,regular
row,V42,V42-R012,,,57.91,,,,,13,regular
row,V42,V42-R013,,,55.74,,,,,19,regular
row,V42,V42-R014,,,55.59,,,,,10,regular
row,V42,V42-R015,,,47.28,,,,,9,regular
row,V42,V42-R016,,,42.22,,,,,8,regular
row,V42,V42-R017,,,36.69,,,,,9,regular
row,V42,V42-R018,,,31.77,,,,,9,regular
row,V42,V42-R019,,,26.78,,,,,5,regular
row,V43,V43-R001,,,42.15,,,,,5,disrupted
row,V43,V43-R002,,,48.18,,,,,9,regular
row,V43,V43-R003,,,53.86,,,,,17,regular
row,V43,V43-R004,,,59.76,,,,,16,disrupted
row,V43,V43-R005,,,65.22,,,,,24,regular
row,V43,V43-R006,,,63.47,,,,,20,regular
row,V43,V43-R007,,,61.35,,,,,25,regular
row,V43,V43-R008,,,57.69,,,,,13,regular
row,V43,V43-R009,,,59.17,,,,,12,regular
row,V43,V43-R010,,,54.64,,,,,3,regular
row,V43,V43-R011,,,51.42,,,,,4,regular
row,V44,V44-R001,,,64.97,,,,,10,regular
row,V44,V44-R002,,,53.39,,,,,14,regular
row,V44,V44-R003,,,54.86,,,,,15,regular
row,V44,V44-R004,,,52.09,,,,,18,regular
row,V44,V44-R005,,,37.84,,,,,3,regular
row,V44,V44-R006,,,32.56,,,,,9,disrupted
row,V45,V45-R001,,,21.63,,,,,8,regular
row,V45,V45-R002,,,17.51,,,,,3,regular
row,V45,V45-R003,,,13.49,,,,,6,regular
row,V45,V45-R004,,,7.45,,,,,1,disrupted
row,V45,V45-R005,,,3.43,,,,,1,regular
row,V46,V46-R001,,,55.59,,,,,3,disrupted
row,V46,V46-R002,,,47.30,,,,,6,disrupted
row,V46,V46-R003,,,39.20,,,,,9,disrupted
row,V46,V46-R004,,,34.63,,,,,9,disrupted
row,V47,V47-R001,,,58.02,,,,,5,regular
row,V47,V47-R002,,,60.36,,,,,6,regular
row,V47,V47-R003,,,53.10,,,,,1,regular
row,V47,V47-R004,,,8.80,,,,,1,regular
row,V47,V47-R005,,,12.03,,,,,2,regular
row,V47,V47-R006,,,60.32,,,,,6,regular
row,V47,V47-R007,,,60.80,,,,,11,regular
row,V47,V47-R008,,,36.78,,,,,5,regular
row,V47,V47-R009,,,60.28,,,,,4,regular
row,V47,V47-R010,,,24.37,,,,,10,regular
row,V47,V47-R011,,,60.90,,,,,20,regular
row,V47,V47-R012,,,60.31,,,,,5,regular
row,V47,V47-R013,,,25.29,,,,,2,regular
row,V47,V47-R014,,,58.08,,,,,11,regular
row,V47,V47-R015,,,60.32,,,,,13,disrupted
row,V47,V47-R016,,,60.16,,,,,22,disrupted
row,V47,V47-R017,,,60.22,,,,,19,regular
row,V47,V47-R018,,,60.21,,,,,9,regular
row,V47,V47-R019,,,60.36,,,,,8,regular
row,V47,V47-R020,,,60.37,,,,,4,regular
row,V47,V47-R021,,,60.27,,,,,6,regular
row,V47,V47-R022,,,60.31,,,,,10,regular
row,V48,V48-R001,,,7.75,,,,,3,regular
row,V48,V48-R002,,,13.95,,,,,4,regular
row,V48,V48-R003,,,14.56,,,,,2,regular
row,V48,V48-R004,,,55.49,,,,,9,disrupted
row,V48,V48-R005,,,31.85,,,,,6,disrupted
row,V48,V48-R006,,,62.92,,,,,15,disrupted
row,V48,V48-R007,,,55.74,,,,,13,regular
row,V48,V48-R008,,,48.20,,,,,4,disrupted
row,V48,V48-R009,,,83.57,,,,,18,disrupted
row,V48,V48-R010,,,88.65,,,,,30,regular
row,V48,V48-R011,,,89.59,,,,,24,regular
row,V48,V48-R012,,,52.26,,,,,11,disrupted
row,V48,V48-R013,,,38.22,,,,,1,disrupted
row,V48,V48-R014,,,77.65,,,,,12,regular
row,V48,V48-R015,,,44.08,,,,,10,regular
row,V49,V49-R001,,,22.09,,,,,1,disrupted
row,V49,V49-R002,,,27.45,,,,,5,disrupted
row,V49,V49-R003,,,30.03,,,,,3,disrupted
row,V49,V49-R004,,,35.70,,,,,2,disrupted
row,V50,V50-R001,,,5.98,,,,,1,disrupted
row,V50,V50-R002,,,15.61,,,,,1,disrupted
row,V50,V50-R003,,,17.50,,,,,3,disrupted
row,V50,V50-R004,,,15.67,,,,,3,disrupted
row,V51,V51-R001,,,52.75,,,,,4,regular
row,V51,V51-R002,,,60.07,,,,,17,regular
row,V51,V51-R003,,,61.12,,,,,25,regular
row,V51,V51-R004,,,74.96,,,,,27,regular
row,V51,V51-R005,,,61.54,,,,,17,regular
row,V51,V51-R006,,,56.64,,,,,3,regular
row,V51,V51-R007,,,65.27,,,,,4,regular
row,V52,V52-R001,,,54.79,,,,,4,regular
row,V52,V52-R002,,,48.43,,,,,3,regular
row,V52,V52-R003,,,42.54,,,,,8,regular
row,V53,V53-R001,,,5.02,,,,,2,regular
row,V53,V53-R002,,,11.77,,,,,3,regular
row,V53,V53-R003,,,18.15,,,,,4,regular
row,V54,V54-R001,,,3.65,,,,,1,regular
row,V54,V54-R002,,,121.36,,,,,18,regular
row,V54,V54-R003,,,118.49,,,,,16,regular
row,V54,V54-R004,,,115.76,,,,,27,regular
row,V54,V54-R005,,,113.11,,,,,23,regular
row,V54,V54-R006,,,110.24,,,,,19,regular
row,V54,V54-R007,,,107.74,,,,,25,disrupted
row,V54,V54-R008,,,103.80,,,,,30,disrupted
row,V54,V54-R009,,,33.16,,,,,5,regular
row,V54,V54-R010,,,65.23,,,,,24,regular
row,V54,V54-R011,,,85.36,,,,,37,regular
row,V54,V54-R012,,,81.07,,,,,30,regular
row,V54,V54-R013,,,80.92,,,,,35,regular
row,V54,V54-R014,,,75.03,,,,,33,regular
row,V54,V54-R015,,,78.43,,,,,33,regular
row,V54,V54-R016,,,83.92,,,,,29,regular
row,V54,V54-R017,,,83.85,,,,,29,regular
row,V54,V54-R018,,,12.32,,,,,4,regular
row,V54,V54-R019,,,52.64,,,,,18,regular
row,V54,V54-R020,,,24.68,,,,,10,regular
row,V54,V54-R021,,,64.11,,,,,21,regular
row,V54,V54-R022,,,27.78,,,,,5,regular
row,V54,V54-R023,,,16.47,,,,,8,regular
row,V54,V54-R024,,,61.49,,,,,18,regular
row,V54,V54-R025,,,11.65,,,,,4,regular
row,V54,V54-R026,,,23.64,,,,,9,regular
row,V54,V54-R027,,,35.55,,,,,11,regular
row,V54,V54-R028,,,24.55,,,,,5,regular
row,V54,V54-R029,,,25.73,,,,,4,regular
row,V54,V54-R030,,,36.37,,,,,6,regular
row,V54,V54-R031,,,21.34,,,,,5,regular
row,V54,V54-R032,,,12.54,,,,,1,regular
